close,high,low,open,time,volumefrom,volumeto
6456.45,6458.37,6456.45,6458.37,1536937320,25.06,161695.18
6456.8,6457.29,6456.45,6456.45,1536937380,32.2,208896.24
6459.84,6460.14,6456.8,6456.8,1536937440,41.94,272125.89
6463.31,6463.53,6460.0,6460.32,1536937500,41.7,269978.15
6465.65,6465.65,6463.78,6463.78,1536937560,30.25,196009.37
6465.93,6466.4,6465.65,6465.65,1536937620,34.18,220966.57
6466.99,6466.99,6465.95,6465.95,1536937680,13.44,86976.96
6466.99,6467.38,6466.91,6466.99,1536937740,13.63,88030.22
6468.08,6468.08,6466.95,6466.99,1536937800,38.64,249725.73
6471.7,6471.71,6468.07,6468.08,1536937860,34.47,222970.4
6474.49,6474.61,6471.61,6471.61,1536937920,24.91,161710.58
6478.39,6478.94,6474.81,6474.81,1536937980,42.68,276919.97
6476.87,6478.09,6476.31,6478.09,1536938040,17.29,112021.75
6475.06,6476.87,6474.99,6476.87,1536938100,27.68,179102.81
6474.49,6475.32,6474.45,6474.97,1536938160,24.56,159062.85
6475.96,6475.96,6474.39,6474.49,1536938220,22.02,143061.43
6477.39,6477.47,6475.96,6475.96,1536938280,14.83,96354.92
6477.89,6478.12,6477.39,6477.39,1536938340,22.27,144096.98
6477.62,6477.89,6477.24,6477.89,1536938400,25.63,165471.83
6478.45,6478.47,6477.59,6477.62,1536938460,43.6,282560.52
6478.5,6478.62,6478.28,6478.49,1536938520,43.73,282887.95
6480.52,6480.85,6478.49,6478.49,1536938580,91.33,591644.72
6480.4,6480.97,6480.09,6480.52,1536938640,29.11,188540.1
6480.98,6481.56,6480.38,6480.4,1536938700,32.37,209554.85
6480.85,6482.25,6480.78,6481.15,1536938760,68.74,445322.1
6480.94,6481.67,6480.29,6480.85,1536938820,37.49,242895.43
6479.81,6480.94,6479.64,6480.94,1536938880,26.2,169653.38
6479.65,6480.03,6479.65,6479.82,1536938940,16.3,106139.79
6479.42,6479.85,6479.26,6479.65,1536939000,21.71,140903.01
6477.88,6479.61,6477.88,6479.61,1536939060,47.85,311365.53
